DataType,Habit,Species,sp,TOTEP,PAL,AIR,MRCD,MRXA,A,E,gs,WUE,SLA,LeafLifespan,CN,SRL,FOD,LeafSize,LeafNo,CVSLA,StemVesD,BranchLeafArea,Huber,MAT,Tmax,Tmin,Pwarm,Twet,TAR,Tseason,MAP,Pseason
GrandMean,DE,Rhododendron_arborescens,ARB,0.24,0.33,0.04,12.7,848,NA,NA,NA,NA,23.66,0.5,39.4,18.82,0.45,4.1,5,0.09,16.8,21.09,0.00852,13.61,30.29,-3.34,316.7,9.31,336.37,763,1396.19,17.33
GrandMean,EV,Rhododendron_brachycarpum,BRA,0.1,0.34,0.17,9,6760,NA,NA,NA,NA,6.96,3,44.4,23.56,0.24,22.1,11,0.14,14,247.11,0.00092,4.96,21.47,-10.99,763.87,14.77,324.61,839.18,1928.3,45.08
GrandMean,DE,Rhododendron_calendulaceum,CAL,0.31,0.34,0.05,19.8,1168,NA,NA,NA,NA,21.35,0.5,28.95,23.51,0.45,4.8,7,0.21,16.9,30.45,0.00632,11.31,27.43,-5.23,348.06,14.28,326.57,734.51,1349.8,12.43
GrandMean,EV,Rhododendron_catawbiense,CAT,0.1,0.33,0.24,12.8,7984,NA,NA,NA,NA,10.45,3,42.08,30.99,0.27,42.4,10,0.16,14.9,417.83,0.00056,8.58,23.2,-4.7,258.16,11.72,279.04,689.12,988.44,20.35
GrandMean,EV,Rhododendron_hyperythrum,HYP,0.13,0.34,0.2,9.9,6807,NA,NA,NA,NA,4.22,3,66.85,12.96,0.63,12.3,12,0.19,14.3,142.71,0.00142,14.41,22.41,5.26,995.5,16.89,171.47,376.25,3086.28,44.13
GrandMean,SEV,Rhododendron_indicum,IND,0.22,0.31,0.13,7.4,488,NA,NA,NA,NA,11.19,1.5,40.82,14.81,0.32,0.8,15,0.2,14.5,14.29,0.01101,14.39,27.98,0.65,1009.59,21.53,273.32,673.44,2467.86,52.18
GrandMean,SEV,Rhododendron_kiusianum,KIU,0.18,0.36,0.08,7.2,356,NA,NA,NA,NA,11.53,1.5,33.75,5.43,0.65,0.9,9,0.37,17,7.46,0.02252,11.53,25.62,-2.46,996.33,18.49,280.78,731.89,2613.33,59.22
GrandMean,EV,Rhododendron_makinoi,MAK,0.09,0.36,0.13,5.2,5729,NA,NA,NA,NA,4.95,6,61.54,6.71,0.61,9.4,21,0.27,13.7,195.5,0.0011,13.18,28.15,-0.68,637.25,19.1,288.25,703.03,1856.75,48
GrandMean,EV,Rhododendron_maximum,MAX,0.1,0.3,0.24,9.2,8401,NA,NA,NA,NA,4.81,6,40.01,12.02,0.49,30.2,14,0.19,14.5,405.75,0.00054,9.7,27.34,-7.85,314.04,12.36,351.87,833.3,1209.73,11.52
GrandMean,DE,Rhododendron_molle,MOL,0.29,0.3,0.02,22.5,1796,NA,NA,NA,NA,22.14,0.5,22.05,14.31,0.4,8.2,8,0.16,17.9,69.75,0.00281,13.73,29.21,-1.48,528.61,20.35,306.93,778.56,1417.93,46.92
GrandMean,SEV,Rhododendron_serpyllifolium,SER,0.24,0.29,0.09,4.7,145,NA,NA,NA,NA,21.51,1,34.98,9.69,0.62,0.3,10,0.4,14.6,2.58,0.07833,14.03,29.48,-0.7,656.27,22.03,301.76,772.89,1818.12,44.98
GrandMean,EV,Rhododendron_smirnowii,SMI,0.11,0.31,0.19,14.7,5492,NA,NA,NA,NA,6.43,5,36.41,15.29,0.48,22.4,17,0.19,15,455.4,0.00052,8.68,24.99,-5.75,188.38,6.61,307.38,706.14,915.63,20.63
GrandMean,SEV,Rhododendron_yedoense,YED,0.27,0.29,0.11,8.6,2323,NA,NA,NA,NA,16.87,1,29.14,6.74,0.43,5.5,6,0.09,15.8,31.41,0.00635,9.53,24.74,-7.2,624.29,16.8,319.43,778.51,1427.43,66.14
HA,DE,Rhododendron_arborescens,ARB,0.24,0.29,0.05,12,1068,5.35,1.41,0.07,3.79,17.4,0.5,50.26,18.82,0.45,4.1,5,0.09,16.8,21.09,0.00852,13.61,30.29,-3.34,316.7,9.31,336.37,763,1396.19,17.33
HA,EV,Rhododendron_brachycarpum,BRA,0.1,0.34,0.15,7.8,5367,8.7,2.41,0.17,3.61,7.5,3,49.78,23.56,0.24,22.1,11,0.14,14,247.11,0.00092,4.96,21.47,-10.99,763.87,14.77,324.61,839.18,1928.3,45.08
HA,DE,Rhododendron_calendulaceum,CAL,0.34,0.33,0.06,15.3,1379,5.46,1.23,0.06,4.44,17.2,0.5,31.9,23.51,0.45,4.8,7,0.21,16.9,30.45,0.00632,11.31,27.43,-5.23,348.06,14.28,326.57,734.51,1349.8,12.43
HA,EV,Rhododendron_catawbiense,CAT,0.1,0.32,0.28,14.1,10722,6.09,1.9,0.11,3.21,9.1,3,39.31,30.99,0.27,42.4,10,0.16,14.9,417.83,0.00056,8.58,23.2,-4.7,258.16,11.72,279.04,689.12,988.44,20.35
HA,EV,Rhododendron_hyperythrum,HYP,0.15,0.3,0.17,7,5187,3.68,0.85,0.05,4.33,4.9,3,55.22,12.96,0.63,12.3,12,0.19,14.3,142.71,0.00142,14.41,22.41,5.26,995.5,16.89,171.47,376.25,3086.28,44.13
HA,SEV,Rhododendron_indicum,IND,0.22,0.29,0.17,9.3,524,5.01,1.71,0.06,2.93,11.3,1.5,42.32,14.81,0.32,0.8,15,0.2,14.5,14.29,0.01101,14.39,27.98,0.65,1009.59,21.53,273.32,673.44,2467.86,52.18
HA,SEV,Rhododendron_kiusianum,KIU,0.17,0.36,0.1,8.1,346,10.02,2.63,0.15,3.81,8.8,1.5,41.94,5.43,0.65,0.9,9,0.37,17,7.46,0.02252,11.53,25.62,-2.46,996.33,18.49,280.78,731.89,2613.33,59.22
HA,EV,Rhododendron_makinoi,MAK,0.09,0.32,0.16,6.1,7627,6.34,1.4,0.08,4.53,5.5,6,45.41,6.71,0.61,9.4,21,0.27,13.7,195.5,0.0011,13.18,28.15,-0.68,637.25,19.1,288.25,703.03,1856.75,48
HA,EV,Rhododendron_maximum,MAX,0.13,0.3,0.25,7.8,4998,6.92,1.37,0.07,5.05,7,6,51.44,12.02,0.49,30.2,14,0.19,14.5,405.75,0.00054,9.7,27.34,-7.85,314.04,12.36,351.87,833.3,1209.73,11.52
HA,DE,Rhododendron_molle,MOL,0.3,0.29,0.03,19.6,1486,6.68,2.07,0.12,3.23,23.7,0.5,23.33,14.31,0.4,8.2,8,0.16,17.9,69.75,0.00281,13.73,29.21,-1.48,528.61,20.35,306.93,778.56,1417.93,46.92
HA,SEV,Rhododendron_serpyllifolium,SER,0.28,0.26,0.06,5.9,230,4.25,2.72,0.14,1.56,13.5,1,47.59,9.69,0.62,0.3,10,0.4,14.6,2.58,0.07833,14.03,29.48,-0.7,656.27,22.03,301.76,772.89,1818.12,44.98
HA,EV,Rhododendron_smirnowii,SMI,0.1,0.33,0.16,19.6,2359,6.8,2.12,0.12,3.21,4.8,5,38.61,15.29,0.48,22.4,17,0.19,15,455.4,0.00052,8.68,24.99,-5.75,188.38,6.61,307.38,706.14,915.63,20.63
HA,SEV,Rhododendron_yedoense,YED,0.32,0.31,0.07,9.7,917,8.67,2.55,0.16,3.64,19.8,1,32.95,6.74,0.43,5.5,6,0.09,15.8,31.41,0.00635,9.53,24.74,-7.2,624.29,16.8,319.43,778.51,1427.43,66.14
