LOCATION,Habit,Species,MRCD,MRXA,PAL,AIR,TOTEP,A,gs,E,WUE,SLA,CN
HA,DE,Rhododendron_arborescens,11.54,1015.52,0.34,0.04,NA,5.41,0.05,1.22,4.43442623,14.33,65.24
HA,DE,Rhododendron_arborescens,12.26,1078.88,0.23,0.06,0.242718645,5.28,0.09,1.59,3.320754717,22.97,36.12
HA,DE,Rhododendron_arborescens,12.33,1109.7,0.31,0.05,0.229492888,NA,NA,NA,NA,20.21,49.43
RSBG,DE,Rhododendron_arborescens,9.47,672.37,0.35,0.01,0.266228975,NA,NA,NA,NA,25.06,25.31
RSBG,DE,Rhododendron_arborescens,14.19,454.08,0.35,0.04,0.222875501,NA,NA,NA,NA,38.94,25.8
RSBG,DE,Rhododendron_arborescens,16.53,760.38,0.4,0.05,0.251784495,NA,NA,NA,NA,20.47,34.51
HA,DE,Rhododendron_calendulaceum,16.32,1729.92,0.34,0.05,0.361090784,8.49,0.09,2.06,4.121359223,16.03,29.11
HA,DE,Rhododendron_calendulaceum,15.22,1369.8,0.35,0.07,0.272286002,1.65,0.01,0.175,9.428571429,22.06,39.5
HA,DE,Rhododendron_calendulaceum,14.21,1037.33,0.29,0.05,0.374729948,6.24,0.07,1.44,4.333333333,22.28,27.08
RSBG,DE,Rhododendron_calendulaceum,26.43,845.76,0.33,0.04,0.270663626,NA,NA,NA,NA,25.63,29.77
RSBG,DE,Rhododendron_calendulaceum,19.81,1069.74,0.35,0.04,0.255191333,NA,NA,NA,NA,22.86,19.12
RSBG,DE,Rhododendron_calendulaceum,26.55,955.8,0.36,0.02,0.309325196,NA,NA,NA,NA,19.25,29.13
HA,DE,Rhododendron_molle,24.77,1288.04,0.32,0.01,0.3353066,9.55,0.23,4.13,2.312348668,31.07,NA
HA,DE,Rhododendron_molle,17.97,1653.24,0.31,0.02,0.212448146,3.44,0.03,0.566,6.077738516,16.57,NA
HA,DE,Rhododendron_molle,15.98,1518.1,0.25,0.06,0.365001081,7.05,0.09,1.5,4.7,23.94,23.33
RSBG,DE,Rhododendron_molle,33.69,2829.96,0.31,0.04,0.280308611,NA,NA,NA,NA,18.44,18.93
RSBG,DE,Rhododendron_molle,20.08,1064.24,0.31,0,0.249492898,NA,NA,NA,NA,19.7,21.38
RSBG,DE,Rhododendron_molle,22.24,2424.16,0.28,0.01,0.314516766,NA,NA,NA,NA,23.1,24.54
HA,EV,Rhododendron_brachycarpum,5.15,1292.65,0.33,0.14,0.10321765,7.34,0.14,1.99,3.688442211,5.63,46.29
HA,EV,Rhododendron_brachycarpum,9.39,7127.01,0.38,0.14,0.102296178,6.81,0.17,2.25,3.026666667,7.53,50.76
HA,EV,Rhododendron_brachycarpum,8.87,7681.42,0.32,0.16,0.107216704,11.96,0.19,3,3.986666667,6.66,52.29
RSBG,EV,Rhododendron_brachycarpum,10.84,10059.52,0.31,0.21,0.106568039,NA,NA,NA,NA,6.92,40.23
RSBG,EV,Rhododendron_brachycarpum,8.86,7371.52,0.33,0.2,0.135857178,NA,NA,NA,NA,9.5,42.95
RSBG,EV,Rhododendron_brachycarpum,10.68,7027.44,0.38,0.14,0.065018132,NA,NA,NA,NA,5.5,33.85
HA,EV,Rhododendron_catawbiense,7.45,4425.3,0.45,0.17,0.10081141,3.92,0.03,0.542,7.232472325,NA,33.74
HA,EV,Rhododendron_catawbiense,9.3,7412.1,0.24,0.4,0.116410058,7.83,0.21,3.55,2.205633803,6.31,43.51
HA,EV,Rhododendron_catawbiense,25.54,20329.84,0.28,0.27,0.085229373,6.51,0.1,1.61,4.043478261,19.94,40.68
RSBG,EV,Rhododendron_catawbiense,9.76,4118.72,0.33,0.14,0.117414097,NA,NA,NA,NA,8.11,44.69
RSBG,EV,Rhododendron_catawbiense,11.76,3633.84,0.33,0.2,0.095647188,NA,NA,NA,NA,7.43,47.77
HA,EV,Rhododendron_hyperythrum,5.62,2984.22,0.3,0.21,0.174014528,2.57,0.03,0.589,4.363327674,2.58,53.8
HA,EV,Rhododendron_hyperythrum,8.34,7389.24,0.3,0.13,0.131284607,4.79,0.06,1.12,4.276785714,2.64,56.63
RSBG,EV,Rhododendron_hyperythrum,10.51,6863.03,0.36,0.19,0.10702997,NA,NA,NA,NA,4.99,59.63
RSBG,EV,Rhododendron_hyperythrum,16.33,14354.07,0.32,0.32,0.087170061,NA,NA,NA,NA,4.99,73.7
RSBG,EV,Rhododendron_hyperythrum,8.67,2444.94,0.44,0.13,0.132988784,NA,NA,NA,NA,5.9,90.51
HA,EV,Rhododendron_makinoi,6.35,7162.8,0.3,0.19,0.103024575,8.51,0.12,2.07,4.111111111,4.87,33.52
HA,EV,Rhododendron_makinoi,5.23,10444.31,0.3,0.12,0.106718162,4.31,0.04,0.722,5.969529086,6.22,53.03
HA,EV,Rhododendron_makinoi,6.84,5273.64,0.35,0.16,0.062752908,6.21,0.09,1.41,4.404255319,4.69,49.69
RSBG,EV,Rhododendron_makinoi,5.27,2856.34,0.37,0.14,0.126238485,NA,NA,NA,NA,4.44,55.36
RSBG,EV,Rhododendron_makinoi,3.11,1480.36,0.42,0.08,0.094301721,NA,NA,NA,NA,4.78,72.19
RSBG,EV,Rhododendron_makinoi,4.32,7158.24,0.39,0.11,0.057392647,NA,NA,NA,NA,4.68,105.45
HA,EV,Rhododendron_maximum,7.37,4127.2,0.33,0.16,0.158146635,7.63,0.07,1.32,5.78030303,4.36,51.33
HA,EV,Rhododendron_maximum,8.15,5868,0.26,0.34,0.099634912,6.21,0.06,1.42,4.373239437,4.91,51.55
RSBG,EV,Rhododendron_maximum,9.69,8197.74,0.3,0.29,0.084667212,NA,NA,NA,NA,5.52,32.57
RSBG,EV,Rhododendron_maximum,9.8,13406.4,0.3,0.19,0.069941641,NA,NA,NA,NA,4.47,NA
RSBG,EV,Rhododendron_maximum,10.93,10405.36,0.29,0.23,0.098695145,NA,NA,NA,NA,4.78,24.56
HA,EV,Rhododendron_smirnowii,20.08,2971.84,0.4,0.12,0.110710542,3.64,0.06,1.27,2.866141732,8.95,33.46
HA,EV,Rhododendron_smirnowii,15.18,1700.16,0.28,0.19,0.105909706,8.79,0.1,1.78,4.938202247,NA,40.48
HA,EV,Rhododendron_smirnowii,23.58,2405.16,0.31,0.17,0.087445637,7.97,0.2,3.32,2.40060241,6.09,41.88
RSBG,EV,Rhododendron_smirnowii,11.81,11845.43,0.3,0.18,0.119446343,NA,NA,NA,NA,5.08,37.88
RSBG,EV,Rhododendron_smirnowii,8.42,6601.28,0.28,0.17,0.127501331,NA,NA,NA,NA,6.26,26.68
RSBG,EV,Rhododendron_smirnowii,8.95,7428.5,0.31,0.28,0.106273387,NA,NA,NA,NA,5.74,38.06
HA,SEV,Rhododendron_indicum,9.37,440.39,0.29,0.16,0.214775425,5.15,0.06,1.47,3.503401361,13.67,41.9
HA,SEV,Rhododendron_indicum,7.98,295.26,0.23,0.16,0.240233737,6.7,0.08,2.31,2.9004329,13.07,41.4
HA,SEV,Rhododendron_indicum,10.59,836.61,0.35,0.18,0.209384103,3.18,0.04,1.35,2.355555556,13.9,43.65
RSBG,SEV,Rhododendron_indicum,5.04,745.92,0.26,0.14,0.244558713,NA,NA,NA,NA,7.81,41.45
RSBG,SEV,Rhododendron_indicum,4.56,360.24,0.27,0.06,0.182966502,NA,NA,NA,NA,9.48,34.26
RSBG,SEV,Rhododendron_indicum,6.94,249.84,0.47,0.06,0.210605322,NA,NA,NA,NA,9.21,42.24
HA,SEV,Rhododendron_kiusianum,10.56,432.96,0.42,0.08,0.142000383,10.43,0.14,2.65,3.935849057,6.53,36.23
HA,SEV,Rhododendron_kiusianum,6.95,222.4,0.31,0.12,0.214533785,8.78,0.09,1.83,4.797814208,10.06,44.26
HA,SEV,Rhododendron_kiusianum,6.73,383.61,0.34,0.09,0.163559949,10.84,0.21,3.4,3.188235294,9.81,45.32
RSBG,SEV,Rhododendron_kiusianum,4.66,172.42,0.34,0.06,0.232112229,NA,NA,NA,NA,16.51,26.77
RSBG,SEV,Rhododendron_kiusianum,5.7,199.5,0.38,0.05,0.122634501,NA,NA,NA,NA,12.42,24.51
RSBG,SEV,Rhododendron_kiusianum,8.65,726.6,0.34,0.07,0.20319734,NA,NA,NA,NA,13.84,25.38
HA,SEV,Rhododendron_serpyllifolium,6.34,285.3,0.25,0.05,0.2696432,4.25,0.14,2.72,1.5625,26.5,46.83
HA,SEV,Rhododendron_serpyllifolium,5.45,174.4,0.27,0.07,0.281105385,NA,NA,NA,NA,19.82,48.34
RSBG,SEV,Rhododendron_serpyllifolium,4.16,87.36,0.32,0.1,0.21800157,NA,NA,NA,NA,20.98,27.58
RSBG,SEV,Rhododendron_serpyllifolium,3.42,61.56,0.33,0.12,0.178612059,NA,NA,NA,NA,20.34,23.59
RSBG,SEV,Rhododendron_serpyllifolium,4,116,0.27,0.13,0.261047842,NA,NA,NA,NA,19.91,28.53
HA,SEV,Rhododendron_yedoense,9.86,1005.72,0.37,0.08,0.278772971,10.13,0.23,3.59,2.821727019,14.6,40.94
HA,SEV,Rhododendron_yedoense,8.94,813.54,0.31,0.07,0.323389133,7.56,0.15,2.34,3.230769231,17.65,30.29
HA,SEV,Rhododendron_yedoense,10.35,931.5,0.24,0.06,0.361789154,8.33,0.1,1.71,4.871345029,17.86,27.62
RSBG,SEV,Rhododendron_yedoense,8.74,10601.62,0.2,0.25,0.138977219,NA,NA,NA,NA,15.29,24.87
RSBG,SEV,Rhododendron_yedoense,6.77,291.11,0.28,0.14,0.272720192,NA,NA,NA,NA,17.23,25.7
RSBG,SEV,Rhododendron_yedoense,6.64,292.16,0.34,0.06,0.267802856,NA,NA,NA,NA,18.6,25.42
